"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Проверка успешного заказа самоката с разными данными и точками входа","tests","Tue Jun 03 18:51:43 GMT+05:00 2025","broken","Tue Jun 03 18:51:43 GMT+05:00 2025","TestOrderScooter","Тесты сценария заказа самоката","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:48:41 GMT+05:00 2025","broken","Tue Jun 03 18:48:41 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:49:11 GMT+05:00 2025","broken","Tue Jun 03 18:49:11 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:46:40 GMT+05:00 2025","broken","Tue Jun 03 18:46:40 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка успешного заказа самоката с разными данными и точками входа","tests","Tue Jun 03 18:51:13 GMT+05:00 2025","broken","Tue Jun 03 18:51:13 GMT+05:00 2025","TestOrderScooter","Тесты сценария заказа самоката","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:49:42 GMT+05:00 2025","broken","Tue Jun 03 18:49:42 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:47:40 GMT+05:00 2025","broken","Tue Jun 03 18:47:40 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:46:05 GMT+05:00 2025","broken","Tue Jun 03 18:46:05 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка перехода на главную страницу Самоката по логотипу","tests","Tue Jun 03 18:50:12 GMT+05:00 2025","broken","Tue Jun 03 18:50:12 GMT+05:00 2025","TestHeaderLinks","Тесты навигации по логотипам","",""
"","0","Проверка перехода на главную страницу Дзена по логотипу Яндекса","tests","Tue Jun 03 18:50:42 GMT+05:00 2025","broken","Tue Jun 03 18:50:42 GMT+05:00 2025","TestHeaderLinks","Тесты навигации по логотипам","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:48:11 GMT+05:00 2025","broken","Tue Jun 03 18:48:11 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
"","0","Проверка текста ответа на вопрос о важном","tests","Tue Jun 03 18:47:10 GMT+05:00 2025","broken","Tue Jun 03 18:47:10 GMT+05:00 2025","TestFAQAccordion","Тесты раздела 'Вопросы о важном'","",""
